lead_id,first_name,last_name,email,company,job_title,industry,company_size_bucket,country,lead_source,status,created_at,lead_score_baseline,converted,estimated_deal_size
435,Christina,Todd,jessica73@example.net,"Nielsen, Murphy and Spencer",Director of IT,Marketing Agency,50-100,Denmark,Referral,New,2025-02-14 16:04:50.745207,82.5,0,18000
3695,Susan,Thomas,ysantos@example.org,Miller-May,COO,Marketing Agency,251-500,Lebanon,Webinar,New,2025-02-14 16:35:37.745207,73.1,0,18000
3102,Richard,Parrish,miranda73@example.com,Garcia-Hicks,VP Engineering,Marketing Agency,101-250,Egypt,Website Form,Contacted,2025-02-14 16:41:48.745207,72.8,0,18000
3888,Sean,Owen,sanderson@example.net,Torres LLC,CTO,Professional Services,50-100,Oman,Website Form,Qualified,2025-02-14 18:03:53.745207,57.6,0,12000
2550,Jason,Riggs,crystal02@example.org,"Kelly, Cruz and Crawford",Project Manager,Technology,50-100,Venezuela,Website Form,New,2025-02-14 18:30:09.745207,91.3,0,10000
1130,Kelsey,Cox,ftrevino@example.org,Young-Gentry,Director of IT,Consulting,50-100,Kazakhstan,Content Download,New,2025-02-14 18:55:51.745207,64.9,0,20000
4422,Megan,Weiss,briannafreeman@example.net,"Lee, Acevedo and Santos",CTO,Professional Services,251-500,South Africa,Webinar,Qualified,2025-02-14 21:24:34.745207,43.7,0,18000
2670,Thomas,Jones,zrodriguez@example.net,"Wheeler, Schneider and Gilbert",Director of IT,Professional Services,101-250,Poland,Webinar,Closed Lost,2025-02-14 21:42:23.745207,69.4,0,10000
4971,Christopher,Bright,joneswilliam@example.net,Gilbert Ltd,VP Engineering,Healthcare,251-500,Ecuador,Content Download,Qualified,2025-02-14 23:04:37.745207,82.9,0,10000
3319,Michelle,Stark,mgraham@example.org,Randall Group,CTO,Professional Services,50-100,Chad,Website Form,Qualified,2025-02-15 03:52:14.745207,76.8,0,20000
1035,Cindy,Nguyen,jcross@example.com,"Ramsey, Oconnor and Yang",Head of Operations,Technology,251-500,Guam,Website Form,Contacted,2025-02-15 05:03:53.745207,52.8,0,12000
1674,Brian,Sweeney,hector14@example.org,"Boyle, Morgan and Campbell",COO,Professional Services,50-100,Netherlands,Website Form,Contacted,2025-02-15 06:17:25.745207,46.2,0,10000
4849,Ralph,Smith,susanmeza@example.net,"Garcia, Fields and Zamora",Project Manager,Professional Services,50-100,Kenya,Content Download,Qualified,2025-02-15 06:50:06.745207,51.6,0,10000
2231,Devin,Jones,scottlopez@example.com,Simmons-Howell,COO,Healthcare,101-250,Guinea-Bissau,Website Form,New,2025-02-15 07:38:00.745207,49.7,0,15000
2877,Megan,Newman,michaela18@example.org,Martinez-Mendoza,Project Manager,Manufacturing,50-100,Turks and Caicos Islands,Trade Show,Closed Lost,2025-02-15 10:41:52.745207,46.0,0,12000
4430,Kevin,Perkins,afernandez@example.net,Washington Group,Head of Operations,Marketing Agency,101-250,United States Virgin Islands,Website Form,New,2025-02-15 11:49:31.745207,52.8,0,10000
533,Nicole,Jones,adamolson@example.net,Snow-Salinas,CTO,Manufacturing,50-100,New Zealand,Content Download,Qualified,2025-02-15 15:51:02.745207,59.0,0,12000
3735,Christopher,Hill,kevin49@example.com,Smith-Mendoza,Head of Operations,Technology,50-100,Colombia,Website Form,New,2025-02-15 18:35:06.745207,71.9,0,20000
3480,Shawn,Mathis,chase79@example.net,Smith-Riley,Project Manager,Consulting,50-100,Burkina Faso,Referral,Proposal Sent,2025-02-15 19:42:35.745207,80.8,0,20000
1980,Robert,Martinez,idavis@example.com,"Wood, Harris and Young",VP Engineering,Consulting,101-250,Serbia,Webinar,Negotiation,2025-02-15 23:13:46.745207,66.1,0,12000
1050,Stacie,Stafford,stoutalexander@example.org,Collins-Hoffman,COO,Marketing Agency,101-250,Korea,Content Download,Contacted,2025-02-15 23:42:45.745207,80.7,0,12000
1364,Susan,Pineda,imiller@example.com,"Phillips, Sosa and Nelson",VP Engineering,Marketing Agency,50-100,Ukraine,Trade Show,Qualified,2025-02-16 03:33:23.745207,45.4,0,10000
1788,Amy,Hancock,monroejessica@example.com,"Jones, Jones and Gates",VP Engineering,Marketing Agency,251-500,Croatia,Website Form,Demo Scheduled,2025-02-16 05:18:08.745207,48.7,0,15000
3723,Robert,Lewis,farleydanielle@example.net,"Mcmahon, Short and Jimenez",CTO,Consulting,101-250,Colombia,Content Download,Closed Lost,2025-02-16 05:31:26.745207,35.4,0,20000
916,Hannah,Fields,murphysandra@example.com,"Oneal, Hughes and Dalton",COO,Manufacturing,101-250,Spain,Cold Outreach,New,2025-02-16 05:41:16.745207,64.2,0,10000
531,Jason,Gonzalez,lopezmike@example.com,Vasquez-James,Project Manager,Professional Services,50-100,Svalbard & Jan Mayen Islands,Website Form,Demo Scheduled,2025-02-16 06:56:09.745207,69.6,0,18000
2256,Erik,Hernandez,uthomas@example.org,Wade-Kelly,VP Engineering,Consulting,101-250,Haiti,Website Form,New,2025-02-16 09:48:03.745207,65.5,0,10000
293,Isaac,Stewart,mariawright@example.net,Taylor Inc,Director of IT,Consulting,251-500,Serbia,Cold Outreach,New,2025-02-16 10:30:53.745207,51.2,0,12000
2744,Crystal,Smith,gabriel14@example.net,"Butler, Richmond and Edwards",Project Manager,Marketing Agency,101-250,Chad,Referral,Contacted,2025-02-16 13:40:37.745207,68.4,0,12000
3367,Jill,George,evanturner@example.org,"Nelson, Cole and Cohen",CTO,Technology,101-250,Gibraltar,Website Form,Negotiation,2025-02-17 01:45:00.745207,52.1,0,12000
2084,Sean,Arnold,juliemorris@example.net,"Hughes, Sparks and Thompson",Project Manager,Professional Services,101-250,Japan,Webinar,Qualified,2025-02-17 03:11:52.745207,25.6,0,18000
3431,Cindy,Smith,fparks@example.org,"Doyle, Boyd and Armstrong",VP Engineering,Healthcare,50-100,Ethiopia,Webinar,New,2025-02-17 04:06:12.745207,67.0,0,18000
4848,Richard,Burns,riveramarilyn@example.com,Sharp-Griffin,CTO,Consulting,101-250,Dominican Republic,Website Form,Contacted,2025-02-17 07:11:25.745207,52.1,0,10000
4223,Thomas,Martin,wwest@example.org,Price Ltd,Head of Operations,Professional Services,251-500,Kazakhstan,Website Form,Contacted,2025-02-17 07:37:33.745207,59.9,0,20000
2698,Curtis,Chen,robertrodriguez@example.com,"Rodriguez, Baker and Jimenez",COO,Healthcare,251-500,Tajikistan,Website Form,Demo Scheduled,2025-02-17 08:00:25.745207,40.3,0,10000
2833,Robin,Rivera,ecoffey@example.net,"Buchanan, Barker and Ruiz",CTO,Technology,251-500,Bosnia and Herzegovina,Webinar,New,2025-02-17 08:09:22.745207,83.4,0,20000
4791,Anthony,Davis,fwatson@example.org,Allen-Kline,COO,Manufacturing,50-100,Switzerland,Website Form,Demo Scheduled,2025-02-17 09:22:06.745207,56.0,0,10000
4716,Jared,Heath,jordanashley@example.com,Hunter-Jennings,VP Engineering,Marketing Agency,251-500,Nigeria,Webinar,Contacted,2025-02-17 10:15:18.745207,59.4,0,10000
4815,Theodore,Conner,floydrobert@example.org,"Lutz, Pace and Jackson",CTO,Marketing Agency,251-500,San Marino,Website Form,New,2025-02-17 12:29:15.745207,64.6,0,12000
603,Randy,Calderon,patrick37@example.com,"Gray, White and Gibson",Project Manager,Technology,251-500,Mauritania,Webinar,New,2025-02-17 13:49:50.745207,73.0,0,10000
1453,Amanda,Wilson,nhall@example.com,"Barnett, Sanders and Bowman",Project Manager,Consulting,50-100,Israel,Referral,Contacted,2025-02-17 20:06:16.745207,63.6,0,10000
4339,Haley,Bowman,joseph50@example.com,Mcdonald Ltd,VP Engineering,Marketing Agency,50-100,United States of America,Trade Show,Qualified,2025-02-18 02:55:19.745207,29.0,0,10000
1630,Stephanie,Mckinney,smitchell@example.net,Brady Group,Project Manager,Professional Services,251-500,Madagascar,Website Form,Contacted,2025-02-18 07:27:35.745207,72.8,0,18000
391,Calvin,Moody,ebrown@example.net,Andrews Inc,Project Manager,Healthcare,251-500,Switzerland,Website Form,Demo Scheduled,2025-02-18 08:07:16.745207,46.5,0,18000
2870,Diane,Oconnor,hufftracy@example.net,"White, Stewart and Martin",Head of Operations,Consulting,50-100,Kenya,Content Download,New,2025-02-18 11:16:01.745207,78.4,0,10000
3060,Lauren,Cummings,craigbeck@example.com,"Hayden, Avery and Schaefer",VP Engineering,Manufacturing,101-250,Guadeloupe,Website Form,Negotiation,2025-02-18 12:30:22.745207,54.1,0,18000
3159,Kristin,Roberts,susan12@example.org,Powell-Lewis,CTO,Professional Services,101-250,Mexico,Website Form,New,2025-02-18 13:22:01.745207,79.9,0,15000
3227,Crystal,Valdez,zwolfe@example.org,Williamson Inc,Project Manager,Technology,50-100,Kiribati,Content Download,Proposal Sent,2025-02-18 18:14:15.745207,47.3,0,12000
18,Susan,Hall,diananielsen@example.org,Reyes Ltd,COO,Marketing Agency,101-250,Norfolk Island,Webinar,Contacted,2025-02-18 18:38:52.745207,64.7,0,10000
2723,Alexander,Stevenson,lauren03@example.com,"Johnson, West and Mckinney",Head of Operations,Technology,251-500,Estonia,Referral,Demo Scheduled,2025-02-18 20:13:35.745207,44.1,0,15000
3945,Aaron,Mcmahon,millerlori@example.org,"Kelley, Warren and Yates",VP Engineering,Healthcare,251-500,Netherlands Antilles,Website Form,Qualified,2025-02-18 21:02:24.745207,53.8,0,15000
2376,Tiffany,Bradley,jaredward@example.com,"Scott, Hart and Gordon",Project Manager,Technology,50-100,Somalia,Website Form,New,2025-02-18 21:12:23.745207,81.7,0,15000
1727,Ryan,Sawyer,morgangomez@example.net,Bridges-Wiley,Project Manager,Marketing Agency,50-100,Turks and Caicos Islands,Content Download,Contacted,2025-02-18 21:36:26.745207,52.0,0,15000
2429,Antonio,Wallace,wallerkevin@example.net,Barton Inc,COO,Technology,50-100,Korea,Referral,Proposal Sent,2025-02-18 21:56:16.745207,76.9,0,10000
4213,Mary,Davis,justin09@example.org,"Huff, Gonzalez and Rivera",VP Engineering,Manufacturing,101-250,Bhutan,Website Form,Contacted,2025-02-18 23:47:42.745207,72.0,0,10000
303,Curtis,Brown,gonzalezhannah@example.org,Young-Baker,COO,Technology,50-100,Czech Republic,Webinar,Qualified,2025-02-19 00:00:00.745207,71.2,0,18000
3336,Julia,Lewis,hahnglenn@example.com,Henderson Ltd,CTO,Professional Services,50-100,Ireland,Referral,Negotiation,2025-02-19 01:13:35.745207,39.9,0,15000
4053,Rhonda,Daniels,catherinewhite@example.org,Jackson-Jackson,COO,Healthcare,251-500,Italy,Content Download,New,2025-02-19 03:02:52.745207,66.9,0,15000
2142,Steven,Palmer,markgilbert@example.org,Boyd-Hernandez,Project Manager,Healthcare,50-100,Puerto Rico,Website Form,Demo Scheduled,2025-02-19 04:00:58.745207,60.8,0,15000
4914,Samantha,Alexander,cynthiapadilla@example.com,"Spencer, Mcguire and Mcmillan",Director of IT,Healthcare,251-500,Czech Republic,Content Download,Demo Scheduled,2025-02-19 08:17:28.745207,62.4,0,15000
3129,Jessica,Yates,ashleyrobinson@example.org,Lewis-Campos,VP Engineering,Healthcare,101-250,Pakistan,Webinar,Contacted,2025-02-19 08:36:00.745207,61.1,0,15000
3810,Stephanie,Reid,thompsonjulie@example.org,Hickman-Rodriguez,Director of IT,Technology,251-500,United States Virgin Islands,Webinar,New,2025-02-19 11:13:32.745207,72.2,0,18000
1897,Victoria,Cuevas,hhudson@example.org,Schultz Ltd,COO,Manufacturing,50-100,Iceland,Content Download,Proposal Sent,2025-02-19 11:18:22.745207,56.1,0,18000
2028,Juan,Thomas,froberts@example.com,"Robertson, Tucker and Boyer",Director of IT,Consulting,101-250,French Guiana,Website Form,Contacted,2025-02-19 11:21:47.745207,78.6,0,10000
744,Martin,Thomas,scott49@example.org,Buckley-Thomas,Project Manager,Technology,101-250,British Virgin Islands,Referral,Contacted,2025-02-19 13:33:22.745207,60.4,0,15000
804,Curtis,Turner,donaldthompson@example.com,Reed PLC,CTO,Marketing Agency,50-100,Greece,Website Form,Contacted,2025-02-19 13:48:05.745207,53.1,0,20000
559,Steven,Miller,bhaynes@example.org,Wilson Ltd,Director of IT,Professional Services,101-250,Saint Martin,Trade Show,Contacted,2025-02-19 13:54:09.745207,65.9,0,10000
4626,Herbert,Lopez,christinaabbott@example.com,"Mills, Jackson and Mccoy",Head of Operations,Manufacturing,251-500,Holy See (Vatican City State),Website Form,Contacted,2025-02-19 14:19:55.745207,78.9,0,10000
4257,Cynthia,Simpson,hcastaneda@example.net,"Smith, Harvey and Duncan",Project Manager,Professional Services,50-100,Lithuania,Webinar,Contacted,2025-02-19 14:53:48.745207,47.5,0,12000
2649,Jordan,Mejia,nathaniel04@example.org,Whitehead-Mann,COO,Technology,251-500,Saint Helena,Referral,Proposal Sent,2025-02-19 15:46:45.745207,60.2,0,20000
2978,Jordan,Calderon,gregory48@example.com,Church LLC,COO,Consulting,101-250,Norway,Website Form,New,2025-02-19 16:11:50.745207,47.3,0,18000
454,Matthew,Sanchez,davidnicholson@example.org,Donovan-Marshall,VP Engineering,Consulting,50-100,Norfolk Island,Referral,Closed Lost,2025-02-19 16:43:21.745207,67.6,0,15000
3793,Samuel,Black,juliephillips@example.org,Randolph-Arnold,Project Manager,Technology,50-100,Christmas Island,Trade Show,New,2025-02-19 17:43:57.745207,63.9,0,20000
3072,Sandra,Mcneil,meghan93@example.com,Lucas LLC,VP Engineering,Technology,251-500,Ghana,Content Download,Contacted,2025-02-19 19:54:48.745207,85.5,0,12000
727,Ethan,Miller,aliciadavis@example.org,Williams Ltd,Director of IT,Healthcare,50-100,Uganda,Webinar,Negotiation,2025-02-19 22:04:37.745207,60.3,0,10000
585,Francisco,Booth,rodriguezdaniel@example.org,Reyes Inc,VP Engineering,Healthcare,101-250,Netherlands,Website Form,Proposal Sent,2025-02-19 23:37:41.745207,62.7,0,15000
3353,Mark,Tyler,jtaylor@example.com,"White, Fernandez and Hurley",Head of Operations,Manufacturing,50-100,Albania,Website Form,Contacted,2025-02-20 01:26:24.745207,66.4,0,15000
2056,Stephanie,Taylor,stonethomas@example.com,Moreno Ltd,COO,Manufacturing,101-250,France,Webinar,Contacted,2025-02-20 01:41:29.745207,47.7,0,18000
4635,Laura,Reyes,nicole49@example.net,Cruz PLC,Director of IT,Consulting,251-500,Japan,Content Download,Contacted,2025-02-20 03:03:06.745207,49.8,0,20000
3892,Amy,Gillespie,latoya23@example.org,"Hughes, Brooks and Miller",COO,Consulting,101-250,Korea,Webinar,Qualified,2025-02-20 07:26:18.745207,68.7,0,18000
1269,Tammie,Shaw,michael41@example.com,"Snyder, Holland and Smith",Director of IT,Consulting,101-250,Colombia,Webinar,Contacted,2025-02-20 08:42:25.745207,49.0,0,15000
556,Maria,Hill,david33@example.org,Flores-Miller,VP Engineering,Healthcare,251-500,United States Minor Outlying Islands,Referral,Qualified,2025-02-20 09:35:06.745207,53.8,0,15000
3453,Ashley,Ruiz,jessicagood@example.com,Wilson-Vasquez,COO,Marketing Agency,251-500,Cape Verde,Website Form,Contacted,2025-02-20 15:56:02.745207,58.1,0,18000
3212,Joseph,Sanders,harold90@example.org,Hanson PLC,COO,Consulting,50-100,France,Cold Outreach,Proposal Sent,2025-02-20 17:57:35.745207,42.3,0,15000
2099,Stephen,Sharp,edwardsashley@example.com,"Browning, Hamilton and Mcfarland",COO,Manufacturing,251-500,Bouvet Island (Bouvetoya),Website Form,New,2025-02-20 18:34:34.745207,36.7,0,15000
2745,Kelly,Caldwell,justinbell@example.org,Wilkerson-Crosby,Director of IT,Consulting,101-250,Reunion,Trade Show,New,2025-02-20 19:59:31.745207,22.1,0,12000
891,Curtis,Kelley,jonestimothy@example.org,Kelly Ltd,Director of IT,Manufacturing,50-100,Ethiopia,Webinar,Negotiation,2025-02-20 20:44:55.745207,72.3,0,12000
4695,Kristine,Levine,justin13@example.org,Avery LLC,COO,Manufacturing,50-100,Azerbaijan,Webinar,Demo Scheduled,2025-02-20 21:21:19.745207,57.1,0,10000
4069,Morgan,Benitez,paulsmith@example.com,Johnson PLC,COO,Healthcare,50-100,Estonia,Content Download,New,2025-02-20 22:16:49.745207,42.2,0,15000
775,Nathan,Arnold,jamesmcdonald@example.net,Walker Inc,VP Engineering,Professional Services,251-500,Cambodia,Trade Show,New,2025-02-21 00:18:08.745207,69.3,0,10000
2623,Kathy,Montgomery,haroldperez@example.com,"Richard, Hernandez and Carpenter",Director of IT,Marketing Agency,101-250,Nepal,Website Form,Proposal Sent,2025-02-21 01:47:27.745207,61.3,0,20000
3022,Matthew,Heath,jchen@example.org,"Kennedy, Mack and Murphy",CTO,Technology,101-250,Russian Federation,Webinar,Contacted,2025-02-21 02:25:31.745207,53.1,0,15000
3240,Brenda,Massey,ryanriggs@example.org,Perez Ltd,COO,Technology,101-250,Marshall Islands,Website Form,Demo Scheduled,2025-02-21 04:27:20.745207,74.1,0,20000
2303,Brittany,Allen,cyoder@example.org,Gray-Smith,Director of IT,Marketing Agency,251-500,Saint Pierre and Miquelon,Referral,Contacted,2025-02-21 07:42:25.745207,54.2,0,15000
705,Kimberly,Burnett,adriennestrong@example.org,"Keith, Jackson and Arroyo",CTO,Consulting,101-250,Christmas Island,Website Form,Contacted,2025-02-21 08:26:52.745207,36.7,0,10000
1042,Tina,Romero,christy26@example.com,Mitchell-Cole,COO,Consulting,101-250,Cayman Islands,Content Download,Negotiation,2025-02-21 09:37:20.745207,53.1,0,10000
3332,Reginald,Brown,moniquecollins@example.net,Bell-Guerra,VP Engineering,Manufacturing,50-100,Yemen,Website Form,New,2025-02-21 10:46:26.745207,36.8,0,10000
1352,Victor,Evans,patrick08@example.com,Fox-Martin,COO,Consulting,50-100,Gabon,Website Form,Proposal Sent,2025-02-21 12:54:55.745207,33.0,0,20000
3775,Katherine,Jones,jacob18@example.org,"Miller, Martinez and Evans",CTO,Professional Services,50-100,North Macedonia,Webinar,Contacted,2025-02-21 15:06:47.745207,33.4,0,18000
2315,Jeffery,Cox,glenn14@example.net,"Moore, Cantu and Finley",Director of IT,Technology,50-100,Slovenia,Website Form,Proposal Sent,2025-02-21 17:15:14.745207,70.0,0,12000
1934,Craig,White,huffscott@example.net,Jackson-Smith,COO,Healthcare,251-500,Pakistan,Website Form,Contacted,2025-02-21 18:32:09.745207,58.4,0,20000
1156,Sean,Wilson,scottsuzanne@example.com,Richards Inc,Head of Operations,Technology,101-250,Morocco,Webinar,New,2025-02-21 19:20:45.745207,75.1,0,12000
2173,Kendra,Jones,nancylloyd@example.com,Wallace-Reynolds,Director of IT,Technology,101-250,Moldova,Website Form,Demo Scheduled,2025-02-21 20:19:01.745207,55.2,0,10000
4348,Rebecca,Dunn,tmartinez@example.org,Russell Inc,CTO,Professional Services,101-250,Panama,Website Form,Demo Scheduled,2025-02-21 22:38:17.745207,36.3,0,10000
335,Calvin,Ellis,fryekevin@example.com,"Rodriguez, Young and Park",Director of IT,Marketing Agency,251-500,Kiribati,Content Download,Qualified,2025-02-21 23:58:18.745207,74.6,0,12000
4401,Michael,Martin,ruizbenjamin@example.net,"Burnett, Jackson and Garcia",VP Engineering,Technology,101-250,Western Sahara,Trade Show,Closed Won,2025-02-22 00:10:41.745207,67.3,1,18000
3790,Michael,Walker,baxterjohn@example.net,Duncan Inc,CTO,Professional Services,101-250,Swaziland,Website Form,New,2025-02-22 02:06:52.745207,79.5,0,12000
4017,Brandi,Thornton,michelevincent@example.com,"Gomez, Marshall and Bernard",Project Manager,Manufacturing,101-250,Yemen,Webinar,Contacted,2025-02-22 04:03:10.745207,52.8,0,15000
2258,Emily,Wright,heatherhiggins@example.org,Owens-Vaughn,CTO,Manufacturing,251-500,Lesotho,Referral,Qualified,2025-02-22 08:44:43.745207,53.7,0,10000
737,Jack,Harris,ashley59@example.net,Callahan-Mercado,CTO,Professional Services,50-100,Bulgaria,Website Form,Proposal Sent,2025-02-22 09:19:22.745207,63.8,0,12000
4018,Robert,Pope,hnguyen@example.com,Wilson LLC,VP Engineering,Healthcare,251-500,Russian Federation,Webinar,New,2025-02-22 09:39:20.745207,70.4,0,12000
2558,Bailey,Reilly,garcianathan@example.org,Chapman PLC,COO,Marketing Agency,251-500,Vanuatu,Content Download,Contacted,2025-02-22 11:03:10.745207,60.1,0,18000
4263,Jason,Chan,kathrynritter@example.net,"Jimenez, Lewis and Johnson",Director of IT,Marketing Agency,50-100,Solomon Islands,Website Form,Closed Lost,2025-02-22 11:23:58.745207,71.4,0,18000
2024,Stephen,Finley,kingtiffany@example.com,Romero-Paul,CTO,Marketing Agency,50-100,Fiji,Trade Show,Contacted,2025-02-22 13:07:06.745207,40.4,0,12000
1292,Robert,Hammond,jacksonchristina@example.com,"Bartlett, Barker and Richardson",CTO,Healthcare,251-500,Isle of Man,Content Download,New,2025-02-22 13:33:08.745207,97.4,0,18000
534,Katelyn,Duarte,pkaiser@example.net,"Bryant, Brown and Kelley",CTO,Marketing Agency,251-500,Colombia,Webinar,Contacted,2025-02-22 14:37:38.745207,41.8,0,12000
1080,Martha,Clark,williamweaver@example.net,"Crawford, Allen and Reynolds",Director of IT,Consulting,251-500,Ukraine,Content Download,New,2025-02-22 14:41:24.745207,72.8,0,18000
1868,Mary,Patterson,frederickkelsey@example.com,Hernandez Group,VP Engineering,Manufacturing,101-250,Antarctica (the territory South of 60 deg S),Website Form,Contacted,2025-02-22 14:47:17.745207,76.9,0,15000
2693,Dustin,Rodgers,hickssteven@example.net,Knight Ltd,CTO,Consulting,251-500,Morocco,Website Form,Contacted,2025-02-22 16:17:22.745207,59.4,0,15000
4514,Erin,Austin,johnalexander@example.org,"Hall, Joyce and Baird",Project Manager,Healthcare,251-500,Solomon Islands,Content Download,New,2025-02-22 17:33:45.745207,46.0,0,15000
4666,Donald,Cooper,veronicabrady@example.com,Collins Inc,Project Manager,Marketing Agency,101-250,Bouvet Island (Bouvetoya),Website Form,Contacted,2025-02-22 23:14:07.745207,57.6,0,12000
4872,Victor,Skinner,gonzalezchristopher@example.net,Reeves-Dodson,Project Manager,Manufacturing,251-500,Niger,Referral,Closed Lost,2025-02-23 01:49:54.745207,80.4,0,10000
2062,Timothy,Mosley,richardhicks@example.com,Allen-Rhodes,Project Manager,Marketing Agency,50-100,Sri Lanka,Content Download,New,2025-02-23 01:53:23.745207,57.9,0,10000
1621,Nicole,Acevedo,amber74@example.org,Adams Inc,Director of IT,Professional Services,50-100,Macao,Content Download,New,2025-02-23 04:24:24.745207,61.7,0,18000
2738,Ryan,Robbins,slopez@example.net,Griffin-Romero,CTO,Marketing Agency,50-100,Jordan,Content Download,Contacted,2025-02-23 14:34:42.745207,65.1,0,10000
2308,Andrea,Collins,brittanymills@example.net,Roberts-Garcia,CTO,Marketing Agency,50-100,Egypt,Content Download,Proposal Sent,2025-02-23 16:46:11.745207,57.3,0,12000
1404,Elizabeth,Lynch,travis56@example.com,Crawford Ltd,Head of Operations,Professional Services,251-500,Canada,Referral,Demo Scheduled,2025-02-23 18:29:00.745207,70.8,0,12000
1368,Amanda,Barrett,cannonjennifer@example.com,Larsen Inc,VP Engineering,Technology,251-500,Hungary,Website Form,Contacted,2025-02-23 19:04:09.745207,46.0,0,15000
1067,Timothy,Rivera,mmccarty@example.org,Curry Group,COO,Healthcare,101-250,Canada,Website Form,Demo Scheduled,2025-02-23 22:03:30.745207,40.6,0,12000
3778,Chad,Melton,michaelowen@example.org,Santos-Johnson,Director of IT,Technology,50-100,Hungary,Webinar,Contacted,2025-02-24 03:39:05.745207,41.6,0,10000
717,Bryan,Perry,tamara65@example.net,Wolf Ltd,Director of IT,Healthcare,50-100,Micronesia,Website Form,New,2025-02-24 04:13:52.745207,61.7,0,18000
3966,Zachary,Arnold,ncarr@example.com,Brown Group,Project Manager,Marketing Agency,50-100,Fiji,Website Form,Contacted,2025-02-24 06:51:09.745207,65.4,0,12000
3030,Brian,Reed,mariamorrison@example.net,"Evans, Armstrong and Rodriguez",CTO,Professional Services,251-500,Gambia,Cold Outreach,New,2025-02-24 07:23:44.745207,60.5,0,12000
3789,Jerry,Howell,joshua14@example.net,Miller-Ward,COO,Healthcare,101-250,Netherlands Antilles,Content Download,New,2025-02-24 10:21:36.745207,62.7,0,18000
4664,Leslie,Black,david38@example.org,"Novak, Jackson and Romero",Project Manager,Manufacturing,251-500,Guinea,Website Form,New,2025-02-24 11:47:37.745207,52.9,0,10000
1115,Rachel,Houston,hudsonrobin@example.com,Salazar Group,VP Engineering,Marketing Agency,101-250,Palau,Trade Show,Contacted,2025-02-24 15:29:33.745207,62.3,0,18000
947,Kevin,Oliver,kjordan@example.org,"Medina, Knapp and Wilcox",Head of Operations,Manufacturing,251-500,Iran,Content Download,Contacted,2025-02-24 17:31:14.745207,37.1,0,18000
4067,Kevin,Murray,ujohnston@example.net,Garcia-Martin,Project Manager,Consulting,50-100,Swaziland,Cold Outreach,Demo Scheduled,2025-02-24 17:41:16.745207,62.8,0,10000
3061,Joshua,Montgomery,savagecynthia@example.com,"Stewart, Wilson and Medina",CTO,Professional Services,101-250,Svalbard & Jan Mayen Islands,Content Download,Contacted,2025-02-24 21:15:35.745207,64.8,0,10000
3086,Kenneth,Rubio,marissa28@example.com,Thomas LLC,CTO,Marketing Agency,251-500,Bahrain,Webinar,Contacted,2025-02-24 22:03:32.745207,64.6,0,10000
934,Rebecca,Collier,bschultz@example.net,Beck-Huber,Director of IT,Manufacturing,101-250,Barbados,Referral,Contacted,2025-02-24 22:56:09.745207,27.0,0,15000
1694,Margaret,Reynolds,rushangel@example.com,Rosario Inc,COO,Manufacturing,101-250,Guernsey,Website Form,New,2025-02-25 01:28:41.745207,39.8,0,18000
380,Stephen,Ochoa,gillfrances@example.net,Miller LLC,COO,Professional Services,50-100,Barbados,Webinar,Qualified,2025-02-25 02:58:05.745207,47.9,0,20000
3666,Regina,Martinez,johnsoncatherine@example.org,"Cooper, Smith and Lee",COO,Healthcare,251-500,Spain,Website Form,Contacted,2025-02-25 04:30:49.745207,41.1,0,10000
